datetime,short_forcast,temperature,is_available
2020-08-25 00:30:00,Mostly Cloudy,76,1
2020-08-25 00:45:00,Mostly Cloudy,76,1
2020-08-25 00:00:00,Mostly Cloudy,76,1
2020-08-25 01:00:00,Mostly Cloudy,76,1
2020-08-25 01:15:00,Mostly Cloudy,76,1
2020-08-25 01:30:00,Mostly Cloudy,76,1
2020-08-25 01:45:00,Mostly Cloudy,76,1
2020-08-25 02:00:00,Mostly Cloudy,76,1
2020-08-25 02:15:00,Mostly Cloudy,76,1
2020-08-25 02:30:00,Mostly Cloudy,76,1
2020-08-25 02:45:00,Mostly Cloudy,76,1
2020-08-25 03:00:00,Mostly Cloudy,75,1
2020-08-25 03:15:00,Mostly Cloudy,75,1
2020-08-25 03:30:00,Mostly Cloudy,75,1
2020-08-25 03:45:00,Mostly Cloudy,75,1
2020-08-25 04:00:00,Mostly Cloudy,74,1
2020-08-25 04:15:00,Mostly Cloudy,74,1
2020-08-25 04:30:00,Mostly Cloudy,74,1
2020-08-25 04:45:00,Mostly Cloudy,74,1
2020-08-25 05:00:00,Partly Cloudy,73,1
2020-08-25 05:15:00,Partly Cloudy,73,1
2020-08-25 05:30:00,Partly Cloudy,73,1
2020-08-25 05:45:00,Partly Cloudy,73,1
2020-08-25 06:00:00,Mostly Sunny,73,1
2020-08-25 06:15:00,Mostly Sunny,73,1
2020-08-25 06:30:00,Mostly Sunny,73,1
2020-08-25 06:45:00,Mostly Sunny,73,1
2020-08-25 07:00:00,Mostly Sunny,74,1
2020-08-25 07:15:00,Mostly Sunny,74,1
2020-08-25 07:30:00,Mostly Sunny,74,1
2020-08-25 07:45:00,Mostly Sunny,74,1
2020-08-25 08:00:00,Mostly Sunny,75,0
2020-08-25 08:15:00,Mostly Sunny,75,0
2020-08-25 08:30:00,Mostly Sunny,75,0
2020-08-25 08:45:00,Mostly Sunny,75,1
2020-08-25 09:00:00,Mostly Sunny,78,1
2020-08-25 09:15:00,Mostly Sunny,78,1
2020-08-25 09:30:00,Mostly Sunny,78,1
2020-08-25 09:45:00,Mostly Sunny,78,1
2020-08-25 10:00:00,Mostly Sunny,82,0
2020-08-25 10:15:00,Mostly Sunny,82,0
2020-08-25 10:30:00,Mostly Sunny,82,0
2020-08-25 10:45:00,Mostly Sunny,82,1
2020-08-25 11:00:00,Sunny,85,1
2020-08-25 11:15:00,Sunny,85,1
2020-08-25 11:30:00,Sunny,85,1
2020-08-25 11:45:00,Sunny,85,1
2020-08-25 12:00:00,Sunny,87,0
2020-08-25 12:15:00,Sunny,87,0
2020-08-25 12:30:00,Sunny,87,0
2020-08-25 12:45:00,Sunny,87,0
2020-08-25 13:00:00,Sunny,89,0
2020-08-25 13:15:00,Sunny,89,1
2020-08-25 13:30:00,Sunny,89,1
2020-08-25 13:45:00,Sunny,89,1
2020-08-25 14:00:00,Sunny,90,1
2020-08-25 14:15:00,Sunny,90,1
2020-08-25 14:30:00,Sunny,90,1
2020-08-25 14:45:00,Sunny,90,1
2020-08-25 15:00:00,Sunny,90,1
2020-08-25 15:15:00,Sunny,90,1
2020-08-25 15:30:00,Sunny,90,1
2020-08-25 15:45:00,Sunny,90,1
2020-08-25 16:00:00,Sunny,91,1
2020-08-25 16:15:00,Sunny,91,1
2020-08-25 16:30:00,Sunny,91,1
2020-08-25 16:45:00,Sunny,91,1
2020-08-25 17:00:00,Sunny,89,1
2020-08-25 17:15:00,Sunny,89,1
2020-08-25 17:30:00,Sunny,89,1
2020-08-25 17:45:00,Sunny,89,1
2020-08-25 18:00:00,Mostly Clear,88,1
2020-08-25 18:15:00,Mostly Clear,88,1
2020-08-25 18:30:00,Mostly Clear,88,1
2020-08-25 18:45:00,Mostly Clear,88,1
2020-08-25 19:00:00,Mostly Clear,85,1
2020-08-25 19:15:00,Mostly Clear,85,1
2020-08-25 19:30:00,Mostly Clear,85,1
2020-08-25 19:45:00,Mostly Clear,85,1
2020-08-25 20:00:00,Mostly Clear,82,1
2020-08-25 20:15:00,Mostly Clear,82,1
2020-08-25 20:30:00,Mostly Clear,82,1
2020-08-25 20:45:00,Mostly Clear,82,1
2020-08-25 21:00:00,Mostly Clear,80,1
2020-08-25 21:15:00,Mostly Clear,80,1
2020-08-25 21:30:00,Mostly Clear,80,1
2020-08-25 21:45:00,Mostly Clear,80,1
2020-08-25 22:00:00,Mostly Clear,78,1
2020-08-25 22:15:00,Mostly Clear,78,1
2020-08-25 22:30:00,Mostly Clear,78,1
2020-08-25 22:45:00,Mostly Clear,78,1
2020-08-25 23:00:00,Mostly Clear,77,1
2020-08-25 23:15:00,Mostly Clear,77,1
2020-08-25 23:30:00,Mostly Clear,77,1
2020-08-25 23:45:00,Mostly Clear,77,1
2020-08-26 00:15:00,Slight Chance Showers And Thunderstorms,78,1
2020-08-26 00:30:00,Slight Chance Showers And Thunderstorms,78,1
2020-08-26 00:45:00,Slight Chance Showers And Thunderstorms,78,1
2020-08-26 00:00:00,Slight Chance Showers And Thunderstorms,78,1
2020-08-26 01:00:00,Slight Chance Showers And Thunderstorms,77,1
2020-08-26 01:15:00,Slight Chance Showers And Thunderstorms,77,1
2020-08-26 01:30:00,Slight Chance Showers And Thunderstorms,77,1
2020-08-26 01:45:00,Slight Chance Showers And Thunderstorms,77,1
2020-08-26 02:00:00,Mostly Cloudy,76,1
2020-08-26 02:15:00,Mostly Cloudy,76,1
2020-08-26 02:30:00,Mostly Cloudy,76,1
2020-08-26 02:45:00,Mostly Cloudy,76,1
2020-08-26 03:00:00,Partly Cloudy,75,1
2020-08-26 03:15:00,Partly Cloudy,75,1
2020-08-26 03:30:00,Partly Cloudy,75,1
2020-08-26 03:45:00,Partly Cloudy,75,1
2020-08-26 04:00:00,Partly Cloudy,74,1
2020-08-26 04:15:00,Partly Cloudy,74,1
2020-08-26 04:30:00,Partly Cloudy,74,1
2020-08-26 04:45:00,Partly Cloudy,74,1
2020-08-26 05:00:00,Partly Cloudy,74,1
2020-08-26 05:15:00,Partly Cloudy,74,1
2020-08-26 05:30:00,Partly Cloudy,74,1
2020-08-26 05:45:00,Partly Cloudy,74,1
2020-08-26 06:00:00,Sunny,73,1
2020-08-26 06:15:00,Sunny,73,1
2020-08-26 06:30:00,Sunny,73,1
2020-08-26 06:45:00,Sunny,73,1
2020-08-26 07:00:00,Sunny,73,1
2020-08-26 07:15:00,Sunny,73,1
2020-08-26 07:30:00,Sunny,73,1
2020-08-26 07:45:00,Sunny,73,1
2020-08-26 08:00:00,Sunny,73,1
2020-08-26 08:15:00,Sunny,73,1
2020-08-26 08:30:00,Sunny,73,1
2020-08-26 08:45:00,Sunny,73,1
2020-08-26 09:00:00,Sunny,76,1
2020-08-26 09:15:00,Sunny,76,1
2020-08-26 09:30:00,Sunny,76,1
2020-08-26 09:45:00,Sunny,76,1
2020-08-26 10:00:00,Sunny,79,0
2020-08-26 10:15:00,Sunny,79,0
2020-08-26 10:30:00,Sunny,79,0
2020-08-26 10:45:00,Sunny,79,1
2020-08-26 11:00:00,Sunny,82,1
2020-08-26 11:15:00,Sunny,82,1
2020-08-26 11:30:00,Sunny,82,1
2020-08-26 11:45:00,Sunny,82,1
2020-08-26 12:00:00,Sunny,83,1
2020-08-26 12:15:00,Sunny,83,1
2020-08-26 12:30:00,Sunny,83,1
2020-08-26 12:45:00,Sunny,83,1
2020-08-26 13:00:00,Sunny,85,1
2020-08-26 13:15:00,Sunny,85,1
2020-08-26 13:30:00,Sunny,85,1
2020-08-26 13:45:00,Sunny,85,1
2020-08-26 14:00:00,Sunny,86,1
2020-08-26 14:15:00,Sunny,86,1
2020-08-26 14:30:00,Sunny,86,1
2020-08-26 14:45:00,Sunny,86,1
2020-08-26 15:00:00,Sunny,86,1
2020-08-26 15:15:00,Sunny,86,1
2020-08-26 15:30:00,Sunny,86,1
2020-08-26 15:45:00,Sunny,86,1
2020-08-26 16:00:00,Sunny,86,1
2020-08-26 16:15:00,Sunny,86,1
2020-08-26 16:30:00,Sunny,86,1
2020-08-26 16:45:00,Sunny,86,1
2020-08-26 17:00:00,Slight Chance Rain Showers,87,1
2020-08-26 17:15:00,Slight Chance Rain Showers,87,1
2020-08-26 17:30:00,Slight Chance Rain Showers,87,1
2020-08-26 17:45:00,Slight Chance Rain Showers,87,1
2020-08-26 18:00:00,Slight Chance Rain Showers,84,1
2020-08-26 18:15:00,Slight Chance Rain Showers,84,1
2020-08-26 18:30:00,Slight Chance Rain Showers,84,1
2020-08-26 18:45:00,Slight Chance Rain Showers,84,1
2020-08-26 19:00:00,Slight Chance Rain Showers,82,1
2020-08-26 19:15:00,Slight Chance Rain Showers,82,1
2020-08-26 19:30:00,Slight Chance Rain Showers,82,1
2020-08-26 19:45:00,Slight Chance Rain Showers,82,1
2020-08-26 20:00:00,Slight Chance Rain Showers,80,1
2020-08-26 20:15:00,Slight Chance Rain Showers,80,1
2020-08-26 20:30:00,Slight Chance Rain Showers,80,1
2020-08-26 20:45:00,Slight Chance Rain Showers,80,1
2020-08-26 21:00:00,Slight Chance Rain Showers,79,1
2020-08-26 21:15:00,Slight Chance Rain Showers,79,1
2020-08-26 21:30:00,Slight Chance Rain Showers,79,1
2020-08-26 21:45:00,Slight Chance Rain Showers,79,1
2020-08-26 22:00:00,Slight Chance Rain Showers,77,1
2020-08-26 22:15:00,Slight Chance Rain Showers,77,1
2020-08-26 22:30:00,Slight Chance Rain Showers,77,1
2020-08-26 22:45:00,Slight Chance Rain Showers,77,1
2020-08-26 23:00:00,Slight Chance Rain Showers,76,1
2020-08-26 23:15:00,Slight Chance Rain Showers,76,1
2020-08-26 23:30:00,Slight Chance Rain Showers,76,1
2020-08-26 23:45:00,Slight Chance Rain Showers,76,1
2020-08-27 00:15:00,Partly Cloudy,76,1
2020-08-27 00:30:00,Partly Cloudy,76,1
2020-08-27 00:45:00,Partly Cloudy,76,1
2020-08-27 00:00:00,Partly Cloudy,76,1
2020-08-27 01:00:00,Partly Cloudy,75,1
2020-08-27 01:15:00,Partly Cloudy,75,1
2020-08-27 01:30:00,Partly Cloudy,75,1
2020-08-27 01:45:00,Partly Cloudy,75,1
2020-08-27 02:00:00,Mostly Clear,75,1
2020-08-27 02:15:00,Mostly Clear,75,1
2020-08-27 02:30:00,Mostly Clear,75,1
2020-08-27 02:45:00,Mostly Clear,75,1
2020-08-27 03:00:00,Partly Cloudy,74,1
2020-08-27 03:15:00,Partly Cloudy,74,1
2020-08-27 03:30:00,Partly Cloudy,74,1
2020-08-27 03:45:00,Partly Cloudy,74,1
2020-08-27 04:00:00,Partly Cloudy,74,1
2020-08-27 04:15:00,Partly Cloudy,74,1
2020-08-27 04:30:00,Partly Cloudy,74,1
2020-08-27 04:45:00,Partly Cloudy,74,1
2020-08-27 05:00:00,Partly Cloudy,73,1
2020-08-27 05:15:00,Partly Cloudy,73,1
2020-08-27 05:30:00,Partly Cloudy,73,1
2020-08-27 05:45:00,Partly Cloudy,73,1
2020-08-27 06:00:00,Mostly Sunny,73,1
2020-08-27 06:15:00,Mostly Sunny,73,1
2020-08-27 06:30:00,Mostly Sunny,73,1
2020-08-27 06:45:00,Mostly Sunny,73,1
2020-08-27 07:00:00,Mostly Sunny,74,1
2020-08-27 07:15:00,Mostly Sunny,74,1
2020-08-27 07:30:00,Mostly Sunny,74,0
2020-08-27 07:45:00,Mostly Sunny,74,0
2020-08-27 08:00:00,Sunny,74,0
2020-08-27 08:15:00,Sunny,74,1
2020-08-27 08:30:00,Sunny,74,1
2020-08-27 08:45:00,Sunny,74,1
2020-08-27 09:00:00,Sunny,78,1
2020-08-27 09:15:00,Sunny,78,1
2020-08-27 09:30:00,Sunny,78,1
2020-08-27 09:45:00,Sunny,78,1
2020-08-27 10:00:00,Sunny,81,0
2020-08-27 10:15:00,Sunny,81,0
2020-08-27 10:30:00,Sunny,81,0
2020-08-27 10:45:00,Sunny,81,1
2020-08-27 11:00:00,Sunny,85,1
2020-08-27 11:15:00,Sunny,85,1
2020-08-27 11:30:00,Sunny,85,1
2020-08-27 11:45:00,Sunny,85,1
2020-08-27 12:00:00,Sunny,87,1
2020-08-27 12:15:00,Sunny,87,1
2020-08-27 12:30:00,Sunny,87,1
2020-08-27 12:45:00,Sunny,87,1
2020-08-27 13:00:00,Sunny,88,1
2020-08-27 13:15:00,Sunny,88,1
2020-08-27 13:30:00,Sunny,88,1
2020-08-27 13:45:00,Sunny,88,1
2020-08-27 14:00:00,Sunny,90,1
2020-08-27 14:15:00,Sunny,90,1
2020-08-27 14:30:00,Sunny,90,0
2020-08-27 14:45:00,Sunny,90,0
2020-08-27 15:00:00,Sunny,90,0
2020-08-27 15:15:00,Sunny,90,0
2020-08-27 15:30:00,Sunny,90,0
2020-08-27 15:45:00,Sunny,90,1
2020-08-27 16:00:00,Sunny,90,1
2020-08-27 16:15:00,Sunny,90,1
2020-08-27 16:30:00,Sunny,90,1
2020-08-27 16:45:00,Sunny,90,1
2020-08-27 17:00:00,Sunny,90,0
2020-08-27 17:15:00,Sunny,90,0
2020-08-27 17:30:00,Sunny,90,0
2020-08-27 17:45:00,Sunny,90,0
2020-08-27 18:00:00,Mostly Clear,88,0
2020-08-27 18:15:00,Mostly Clear,88,1
2020-08-27 18:30:00,Mostly Clear,88,1
2020-08-27 18:45:00,Mostly Clear,88,1
2020-08-27 19:00:00,Partly Cloudy,85,1
2020-08-27 19:15:00,Partly Cloudy,85,1
2020-08-27 19:30:00,Partly Cloudy,85,1
2020-08-27 19:45:00,Partly Cloudy,85,1
2020-08-27 20:00:00,Partly Cloudy,83,1
2020-08-27 20:15:00,Partly Cloudy,83,1
2020-08-27 20:30:00,Partly Cloudy,83,1
2020-08-27 20:45:00,Partly Cloudy,83,1
2020-08-27 21:00:00,Partly Cloudy,82,1
2020-08-27 21:15:00,Partly Cloudy,82,1
2020-08-27 21:30:00,Partly Cloudy,82,1
2020-08-27 21:45:00,Partly Cloudy,82,1
2020-08-27 22:00:00,Partly Cloudy,80,1
2020-08-27 22:15:00,Partly Cloudy,80,1
